id,item_name,price
1,Classic Milk Tea,16.5
2,Taro Slush,18.75
3,Matcha Latte,17.25
4,Brown Sugar Boba,19.5
5,Mango Green Tea,15.75
6,Thai Tea,16.5
7,Passion Fruit Tea,15.75
8,Oreo Slush,20.25
9,Coffee Milk Tea,16.5
10,Strawberry Smoothie,19.5
11,Honeydew Milk Tea,17.25
12,Wintermelon Tea,15.0
13,Rose Milk Tea,17.25
14,Lychee Green Tea,15.75
15,Peach Oolong,15.75
16,Coconut Milk Tea,17.25
17,Almond Milk Tea,17.25
18,Caramel Frappe,19.5
19,Mocha Frappe,19.5
20,Vanilla Latte,16.5
